City,State,Passenger Miles
Everett,WA,"32,107,400 "
Dover,DE,"31,653,996 "
El Monte,CA,"31,505,047 "
Grand Rapids,MI,"31,104,166 "
Montclair,NJ,"30,996,958 "
Pittsburgh,PA,"30,261,649 "
Los Angeles,CA,"30,243,844 "
Richmond,VA,"30,204,978 "
Charlotte,NC,"29,838,989 "
Richmond,VA,"29,291,229 "
Hesperia,CA,"29,205,626 "
Atlanta,GA,"28,992,306 "
Burnsville,MN,"28,634,507 "
Oceanside,CA,"28,003,119 "
Yaphank,NY,"27,882,104 "
Flint,MI,"27,603,871 "
San Francisco,CA,"27,534,409 "
Lansing,MI,"27,488,246 "
San Carlos,CA,"26,963,687 "
Gainesville,FL,"26,317,774 "
Vancouver,WA,"26,211,237 "
St. Paul,MN,"26,103,531 "
Eugene,OR,"26,080,664 "
El Monte,CA,"25,915,355 "
Fresno,CA,"25,898,642 "
Spring Valley,NY,"25,869,858 "
Santa Barbara,CA,"25,748,791 "
San Antonio,TX,"25,693,681 "
Hartford,CT,"25,517,192 "
Newark,NJ,"25,137,891 "
Anchorage,AK,"24,178,130 "
Washington,DC,"23,930,248 "
Los Angeles,CA,"23,707,623 "
Houston,TX,"23,629,031 "
Ann Arbor,MI,"23,275,879 "
Monterey,CA,"22,886,996 "
Miami,FL,"22,663,508 "
New York,NY,"22,278,258 "
Tacoma,WA,"22,201,580 "
Largo,MD,"22,107,866 "
Allentown,PA,"21,954,076 "
Bakersfield,CA,"21,948,633 "
Oceanside,CA,"21,730,491 "
Reno,NV,"21,710,799 "
Akron,OH,"21,355,560 "
Richland,WA,"21,326,432 "
Santa Cruz,CA,"21,231,214 "
Durham,NC,"21,152,663 "
Everett,WA,"20,989,754 "
Urbana,IL,"20,961,635 "
Corpus Christi,TX,"20,830,748 "
Lancaster,PA,"20,521,491 "
San Juan,PR,"20,404,979 "
Eden Prairie,MN,"20,327,007 "
Montebello,CA,"20,323,470 "
Fort Wright,KY,"20,265,177 "
Everett,WA,"20,155,115 "
Baltimore,MD,"20,078,289 "
The Woodlands,TX,"20,019,503 "
Boston,MA,"19,967,570 "
San Carlos,CA,"19,812,865 "
Weehawken,NJ,"19,797,250 "
Austin,TX,"19,572,510 "
Minneapolis,MN,"19,441,510 "
Anaheim,CA,"19,086,458 "
Houston,TX,"19,003,294 "
Olympia,WA,"18,914,264 "
Raleigh,NC,"18,793,227 "
Dallas,TX,"18,572,868 "
San Juan,PR,"18,488,753 "
Newington,CT,"18,251,326 "
Torrance,CA,"18,221,365 "
Birmingham,AL,"18,189,863 "
