City,County,State,City Latitude,City Longitude,Closest Airport,Closest Airport ICAO,Distance to Airport KM,Distance to Airport Miles
Hoback,Teton,WY,43.3082,-110.7443,Salt Lake City International Airport,KSLC,298.1230194582514,185.24505834839704
Cottonwood Shores,Burnet,TX,30.5521,-98.325,Austin Bergstrom International Airport,KAUS,74.36884792721851,46.21066027915328
Hooper Bay,Kusilvak,AK,61.5262,-166.1146,Ted Stevens Anchorage International Airport,PANC,858.0211294389375,533.1496188248279
Marshallville,Macon,GA,32.4564,-83.9407,Hartsfield Jackson Atlanta International Airport,KATL,138.8830820694291,86.29794736517964
Canaan,Litchfield,CT,42.0347,-73.3323,Bradley International Airport,KBDL,54.69634342560292,33.986732549978996
Latta,Pontotoc,OK,34.7531,-96.7088,Tulsa International Airport,KTUL,177.0592228694615,110.01950178546474
Terry,Hinds,MS,32.1047,-90.298,Jackson-Medgar Wiley Evers International Airport,KJAN,31.04669717153656,19.29152347751428
Mountain View,Uinta,WY,41.2723,-110.3344,Salt Lake City International Airport,KSLC,147.9920766084085,91.95801423265871
Tower Lakes,Lake,IL,42.2315,-88.1538,Chicago O'Hare International Airport,KORD,34.8248524597473,21.63916036273613
La Croft,Columbiana,OH,40.6469,-80.5998,Pittsburgh International Airport,KPIT,35.482217603695005,22.04762813106909
Bevil Oaks,Jefferson,TX,30.1517,-94.2711,George Bush Intercontinental Houston Airport,KIAH,104.66286360066542,65.0344891509818
Hillcrest,Ogle,IL,41.9684,-89.0654,Chicago Rockford International Airport,KRFD,25.377364768242504,15.768763598880566
Topeka,LaGrange,IN,41.5394,-85.5475,Fort Wayne International Airport,KFWA,68.97550383347495,42.85939158761093
Yale,Payne,OK,36.115,-96.7012,Tulsa International Airport,KTUL,73.58629776224946,45.72440614408626
Grawn,Grand Traverse,MI,44.6611,-85.6881,MBS International Airport,KMBS,179.5390842061475,111.56041620007491
Coto Norte,Manatí,PR,18.4328,-66.4409,Miami International Airport,KMIA,1643.1152453350064,1020.9844917321074
Grayson,Stanislaus,CA,37.565,-121.1794,Norman Y. Mineta San Jose International Airport,KSJC,69.88263200785192,43.42305490987736
Cordry Sweetwater Lakes,Brown,IN,39.3085,-86.1227,Indianapolis International Airport,KIND,47.78341635296854,29.691238759343683
Coldstream,Hamilton,OH,39.0479,-84.3474,Cincinnati Northern Kentucky International Airport,KCVG,27.66863281510613,17.192491574681874
Livingston Manor,Sullivan,NY,41.8935,-74.8265,Newark Liberty International Airport,KEWR,144.40962930081332,89.73198465020154
Hurt,Pittsylvania,VA,37.0954,-79.3029,Piedmont Triad International Airport,KGSO,124.54860200641006,77.39091428704543
New York Mills,Otter Tail,MN,46.5198,-95.3733,Duluth International Airport,KDLH,245.18350418333117,152.34996821460152
Iraan,Pecos,TX,30.9129,-101.9001,Lubbock Preston Smith International Airport,KLBB,305.9502971518892,190.10870328162596
Lexington,Lee,TX,30.4147,-97.0093,Austin Bergstrom International Airport,KAUS,67.98053348846375,42.241145670366905
Fullerton,Nance,NE,41.3648,-97.9725,Kansas City International Airport,KMCI,359.3026318779782,223.26030753317755
Marion,Franklin,PA,39.8607,-77.7016,Washington Dulles International Airport,KIAD,104.04278692493823,64.64919136289318
Sunnyside-Tahoe City,Placer,CA,39.1504,-120.1613,Reno Tahoe International Airport,KRNO,51.457726377206356,31.974349188276367
Airport,Stanislaus,CA,37.6324,-120.9774,Norman Y. Mineta San Jose International Airport,KSJC,89.14920062042266,55.394745768552774
Converse,Miami,IN,40.5773,-85.878,Fort Wayne International Airport,KFWA,72.77759404424786,45.22190094438715
Spicer,Kandiyohi,MN,45.2329,-94.9401,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,140.49229422965706,87.29786545623509
Fowler,Clinton,MI,43.0041,-84.7411,MBS International Airport,KMBS,79.53620177666048,49.42150514140565
Robbins,Moore,NC,35.4279,-79.5829,Piedmont Triad International Airport,KGSO,81.06309668719845,50.37027366424053
Ardmore,Giles,TN,35.0031,-86.8547,Huntsville International Carl T Jones Field,KHSV,41.3301036150949,25.681336079435855
West Leechburg,Westmoreland,PA,40.6338,-79.617,Pittsburgh International Airport,KPIT,54.38072735853509,33.79061781564578
Keedysville,Washington,MD,39.4867,-77.6979,Washington Dulles International Airport,KIAD,63.79562133739758,39.64076178516434
El Negro,Yabucoa,PR,18.037,-65.8494,Miami International Airport,KMIA,1719.4466634365763,1068.4146365955814
Beattyville,Lee,KY,37.5862,-83.7065,Cincinnati Northern Kentucky International Airport,KCVG,182.98139878172094,113.69937133867649
Riddle,Douglas,OR,42.9542,-123.3646,Portland International Airport,KPDX,299.2303362104579,185.93311308749568
Hazel Green,Grant,WI,42.5341,-90.4361,Chicago Rockford International Airport,KRFD,116.26939830532557,72.24645554825811
Hagerman,Chaves,NM,33.1147,-104.3283,Lubbock Preston Smith International Airport,KLBB,240.46595948818128,149.4186218063226
Jewett,Leon,TX,31.3627,-96.1455,George Bush Intercontinental Houston Airport,KIAH,171.47019183510804,106.54663886481129
Stiles,Lehigh,PA,40.6666,-75.5072,Philadelphia International Airport,KPHL,91.20532319463878,56.67236111984053
Homer,Banks,GA,34.335,-83.4987,Hartsfield Jackson Atlanta International Airport,KATL,115.63661470323605,71.85326204208742
Mulberry,Clinton,IN,40.3458,-86.6672,Indianapolis International Airport,KIND,76.75600722525144,47.69397231676316
Pamplico,Florence,SC,33.9957,-79.5698,Charleston Air Force Base-International Airport,KCHS,129.57278527741624,80.51279707517047
Greenback,Loudon,TN,35.6487,-84.1724,Greenville Spartanburg International Airport,KGSP,196.10883412001039,121.8563815877518
Grimsley,Fentress,TN,36.2761,-84.997,Nashville International Airport,KBNA,151.79047328656125,94.31822853463851
Biglerville,Adams,PA,39.9303,-77.2462,Baltimore/Washington International Thurgood Marshall Airport,KBWI,97.47254264434535,60.566630789968045
Mitchell,Madison,IL,38.7631,-90.0816,St Louis Lambert International Airport,KSTL,25.059268798649864,15.571107924539625
Vander,Cumberland,NC,35.0347,-78.7888,Raleigh Durham International Airport,KRDU,93.72660505181753,58.239013052973924
Mifflinville,Columbia,PA,41.0307,-76.2995,Philadelphia International Airport,KPHL,156.91563830810026,97.50285847427023
